Player;#;Pos;Min;Gls;Ast;Sh;SoT;Touches;Press;Tkl;Int;Blocks;xG;npxG;xA;SCA;GCA;Cmp;Att;Cmp%;Prog;Succ;Att
Ferrán Torres\Ferran-Torres;21;FWRW;90;0;0;2;1;25;6;1;0;2;0.5;0.5;0;2;0;13;19;68.4;2;1;1
Raheem Sterling\Raheem-Sterling;7;LW;69;0;0;1;1;38;8;1;0;0;0;0;0;2;0;25;28;89.3;1;0;2
Gabriel Jesus\Gabriel-Jesus;9;FWLW;21;0;0;0;0;7;3;1;0;0;0;0;0.1;1;0;6;6;100;1;0;0
Riyad Mahrez\Riyad-Mahrez;26;RW;78;0;0;2;0;44;5;1;0;0;0.4;0.4;0;4;0;30;35;85.7;0;1;1
Kevin De Bruyne\Kevin-De-Bruyne;17;CM;12;0;0;1;1;21;1;0;0;0;0;0;0;2;0;10;17;58.8;2;1;2
Jack Grealish\Jack-Grealish;10;CMLW;90;0;0;3;1;60;7;1;0;0;0.2;0.2;0.1;5;0;43;48;89.6;3;3;3
İlkay Gündoğan\Ilkay-Gundogan;8;CM;90;0;0;2;0;57;2;2;0;1;0.1;0.1;0;2;0;35;45;77.8;4;2;3
Fernandinho\Fernandinho;25;DM;90;0;0;3;0;74;9;4;0;1;0.2;0.2;0.3;3;0;52;63;82.5;5;0;0
Benjamin Mendy\Benjamin-Mendy;22;LB;78;0;0;0;0;94;12;3;0;0;0;0;0.3;4;0;73;87;83.9;8;1;3
Oleksandr Zinchenko\Oleksandr-Zinchenko;11;LB;12;0;0;0;0;17;0;0;1;1;0;0;0;0;0;10;14;71.4;4;0;0
Nathan Aké\Nathan-Ake;6;CB;90;0;0;1;0;68;1;1;0;2;0.2;0.2;0;0;0;49;59;83.1;2;0;0
Rúben Dias\Ruben-Dias;3;CB;90;0;0;0;0;62;1;1;1;2;0;0;0;0;0;49;54;90.7;4;0;0
João Cancelo\Joao-Cancelo;27;RB;90;0;0;3;0;87;4;2;3;3;0.1;0.1;0.6;4;0;61;73;83.6;9;3;4
Ederson\Ederson;31;GK;90;0;0;0;0;22;0;0;0;0;0;0;0;2;0;20;22;90.9;0;0;0
