,Minute,Player,Squad,Event,Event2,Player2
0,3,Oliver Skipp,Tottenham,Foul,,
1,4,Oliver Skipp,Tottenham,Corner,,
2,9,Japhet Tanganga,Tottenham,Foul,,João Cancelo
3,10,Japhet Tanganga,Tottenham,Foul,,João Cancelo
4,11,Oliver Skipp,Tottenham,Corner,,João Cancelo
5,13,Son Heung-Min,Tottenham,Offside,,Hugo Lloris
6,15,Pierre Højbjerg,Tottenham,Foul,,Hugo Lloris
7,18,Japhet Tanganga,Tottenham,Free kick,,Hugo Lloris
8,21,Steven Bergwijn,Tottenham,Shot,Assist,Pierre Højbjerg
9,23,Dele Alli,Tottenham,Free kick,,Pierre Højbjerg
10,24,Davinson Sánchez,Tottenham,Shot,Assist,Son Heung-Min
11,26,Japhet Tanganga,Tottenham,Foul,,Son Heung-Min
12,28,Son Heung-Min,Tottenham,Shot,Assist,Steven Bergwijn
13,30,Davinson Sánchez,Tottenham,Foul,,Steven Bergwijn
14,36,Japhet Tanganga,Tottenham,Foul,,Raheem Sterling
15,39,Oliver Skipp,Tottenham,Corner,,Raheem Sterling
16,40,Son Heung-Min,Tottenham,Shot,Assist,Lucas Moura
17,42,Son Heung-Min,Tottenham,Shot,Assist,Lucas Moura
18,49,Lucas Moura,Tottenham,Shot,Assist,Sergio Reguilón
19,53,Lucas Moura,Tottenham,Shot,Assist,Japhet Tanganga
20,54,Pierre Højbjerg,Tottenham,Shot,Assist,Lucas Moura
21,55,Son Heung-Min,Tottenham,Shot,Assist,Steven Bergwijn
22,58,Japhet Tanganga,Tottenham,Corner,,Fernandinho
23,59,Japhet Tanganga,Tottenham,Corner,,Fernandinho
24,61,Steven Bergwijn,Tottenham,Shot,Assist,Sergio Reguilón
25,63,Japhet Tanganga,Tottenham,Corner,,Sergio Reguilón
26,64,Dele Alli,Tottenham,Corner,,Sergio Reguilón
27,65,Son Heung-Min,Tottenham,Free kick,,Sergio Reguilón
28,66,Lucas Moura,Tottenham,Yellow Card,,Sergio Reguilón
29,68,Dele Alli,Tottenham,Foul,,Sergio Reguilón
30,73,Lucas Moura,Tottenham,Free kick,,João Cancelo
31,74,Lucas Moura,Tottenham,Shot,Assist,João Cancelo
32,76,Lucas Moura,Tottenham,Free kick,,Gabriel Jesus
33,78,Lucas Moura,Tottenham,Free kick,,Steven Bergwijn
34,79,Son Heung-Min,Tottenham,Shot,Assist,Pierre Højbjerg
35,80,Japhet Tanganga,Tottenham,Offside,,Pierre Højbjerg
36,81,Eric Dier,Tottenham,Corner,,Kevin De Bruyne
37,83,Lucas Moura,Tottenham,Foul,,Japhet Tanganga
38,84,Hugo Lloris,Tottenham,Corner,,Jack Grealish
39,86,Hugo Lloris,Tottenham,Corner,,João Cancelo
40,88,Matt Doherty,Tottenham,Corner,,João Cancelo
41,90,Lucas Moura,Tottenham,Free kick,,Pierre Højbjerg
42,91,Davinson Sánchez,Tottenham,Yellow Card,,Pierre Højbjerg
43,92,Giovani Lo Celso,Tottenham,Free kick,,Pierre Højbjerg
